Purchase_Order_Description,Manufacturer,Part_Number,Vendor_Description
2 inch wirsbo 45,UPONOR INC,UPOQ4762020,2IN PROPEX 45 BG=1
2 inch wirsbo rings,UPONOR INC,UPOQ4692000,2IN PROPEX RING BG=10
2 inch by 2 inch by 1-1/2 wirsbo tee,UPONOR INC,UPOQ4752215,2INX2INX1 1/2 PROPEX TEE BG=1
1-1/2 MIP by wirsbo adaptor,UPONOR INC,UPOLF4521515,1 1/2 PEXXMIP LF ADAPT BG=1
1-1/2 inch gal plugs,ASC ENGINEERED SOLUTIONS,11/2GALVPLUG,SCI 0819902529 MATCO MGPL07
2 inch gal plugs,ASC ENGINEERED SOLUTIONS,2GALVPLUG,SCI 0819902578 MATCO MGPL08
1-1/2 wirsbo coupling,UPONOR INC,UPOQ4771515,1 1/2X1 1/2 PROPEX CPLG BG=1
1-1/2 wirsbo 90,UPONOR INC,UPOQ4761500,1 1/2 PROPEX 90 BG=1
1-1/2 inch wirsbo pipe 20 feet,UPONOR INC,UPOF1921500,1-1/2X20FT LN TBG-100FT/BAG
2 inch wirsbo pipe 20 feet,UPONOR INC,UPOF1922000,2INX20FT STRT TBG-100FT/BAG
1-1/2 wirsbo rings with stop,UPONOR INC,UPOQ4691500,1 1/2 PROPEX RING W/STOP BG=5
2 inch wide 10 mil tape,PASCO SPECIALTY,PASCO9052R,2IN WIDE 10 MIL PIPE WRAP TAPE
2-1/2 inch fig 69 hangers,ASC,05000069G,69 21/2 GALV ADJ SWIVEL HANGER
2 inch fig 69 hangers,ASC,05000069F,69 2    GALV ADJ SWIVEL HANGER
10 mil tape,PASCO PLUMBING SPECIALTIES,14519052R,9052-R 2X100 10MIL BLK WRAP
3/8 all thread rod,FASTENERS,56530594,3/8 10'  PLTD ALL THREAD ROD
3/8 nuts,FASTENERS,56457004,3/8-16  STD HEX NUTS Z/P
3/8 flat washers,FASTENERS,56467294,3/8  ZINC PLTD FLAT WASHER
 6 inch by 2 inch 150# flange,ALLIED FITTINGS,*00496098986,6X2 150# A105 RF  THD FLG IMP
6 inch gaskets,GASKETS,170218060,6     150# 1/8 F/F R/R GASKET
6 inch bolt sets,FASTENERS,463581009,6     150 PLATED BOLT KIT
"3"" ABS Pipe",GENOVA USA,ABSPIPE3INX20FT,*****1500FT PER LIFT*****
"2"" NHCI Pipe",AB&I FOUNDRY,2X10NOHUBPIPE,*** 640FT/LIFT*** AB&I 00158
"10"" NHCI Pipe",AB&I FOUNDRY,10X10NOHUBPIPE,***80FT/LIFT*** AB&I 00172
"8"" NHCI Pipe",AB&I FOUNDRY,8X10NOHUBPIPE,***150FT/LIFT*** AB&I 00170
"12"" NHCI Pipe",AB&I FOUNDRY,12X10NOHUBPIPE,***60FT/LIFT*** AB&I 00182
"1"" ABS 1/8 Bend",CHARLOTTE PIPE & FOUNDRY,ABS453IN,CNPLS 102503 CS=20 CHAR 02877
"2"" NHCI 1/8 Bend",AB&I FOUNDRY,2NOHUB45,AB&I 00606
"3"" NHCI 1/8 Bend",AB&I FOUNDRY,3NOHUB45,AB&I 00608
"4"" NHCI 1/8 Bend",AB&I FOUNDRY,4NOHUB45,AB&I 00610
"6"" NHCI 1/8 Bend",AB&I FOUNDRY,6NOHUB45,AB&I 00614
"4"" NHCI 90 Double 1/4 Bend",AB&I FOUNDRY,4NOHUBDBL90,"AB&I 00406 DOUBLE 1/4 BEND 4"""
"2"" NHCI 1/4 Bend",AB&I FOUNDRY,2NOHUB90,AB&I 00190
"3"" NHCI 1/4 Bend",AB&I FOUNDRY,3NOHUB90,NH REG 1/4 BEND AB&I 00192
"4"" NHCI 1/4 Bend",AB&I FOUNDRY,4NOHUB90,NH REG 1/4 BEND AB&I 00194
"6"" NHCI 1/4 Bend",AB&I FOUNDRY,6NOHUB90,NH REG 1/4 BEND AB&I 00198
"8"" NHCI 1/4 Bend",AB&I FOUNDRY,8NOHUB90,NH REG 1/4 BEND AB&I 00200
3x2 NHCI Low Heel 1/4 Bend,AB&I FOUNDRY,3X2NOHUBLOWHEEL90,AB&I 00280
"2"" NHCI Short Sweep 1/4 Bend",AB&I FOUNDRY,2NOHUBSHORTSWEEPCODE,NH CODE 1/4 BEND AB&I 00462
"3"" NHCI  Short Sweep 1/4 Bend",AB&I FOUNDRY,3NOHUBSHORTSWEEPCODE,NH CODE 1/4 BEND AB&I 00464
"4"" NHCI  Short Sweep 1/4 Bend",AB&I FOUNDRY,4NOHUBSHORTSWEEPCODE,NH CODE 1/4 BEND AB&I 00468
"6"" NHCI  Short Sweep 1/4 Bend",AB&I FOUNDRY,6NOHUBSHORTSWEEPCODE,NH CODE 1/4 BEND AB&I 00472
"10"" NHCI  Short Sweep 1/4 Bend",AB&I FOUNDRY,10NOHUBSHORTSWEEPCODE,NH CODE 1/4 BEND AB&I 00476
"2"" NHCI  1/16 Bend",AB&I FOUNDRY,2NOHUB22,AB&I 00678
"3"" NHCI  1/16 Bend",AB&I FOUNDRY,3NOHUB22,AB&I 00680
"6"" NHCI  1/16 Bend",AB&I FOUNDRY,6NOHUB22,AB&I 00686
"2"" NHCI Combo",AB&I FOUNDRY,2NOHUBCOMBO,AB&I 01698
"3"" NHCI  Combo",AB&I FOUNDRY,3NOHUBCOMBO,AB&I 01702
"3"" x 2"" NHCI  Combo",AB&I FOUNDRY,3X2NOHUBCOMBO,AB&I 01700
"4"" NHCI Combo",AB&I FOUNDRY,4NOHUBCOMBO,AB&I 01708
4x2 NHCI Combo,AB&I FOUNDRY,4X2NOHUBCOMBO,AB&I 01704
4x3 NHCI Combo,AB&I FOUNDRY,4X3NOHUBCOMBO,AB&I 01706
6 NHCI Combo,AB&I FOUNDRY,6NOHUBCOMBO,AB&I 01726
6x2 NHCI Combo,AB&I FOUNDRY,6X2NOHUBCOMBO,AB&I 01718
6x2 NHCI Combo,AB&I FOUNDRY,6X3NOHUBWYE,AB&I 01336
6x3 NHCI Wye,AB&I FOUNDRY,6X2NOHUBCOMBO,AB&I 01718
6x3 NHCI Wye,AB&I FOUNDRY,6X3NOHUBWYE,AB&I 01336
6x4 NHCI Combo,AB&I FOUNDRY,6X4NOHUBCOMBO,AB&I 01722
"1-1/2"" x 1-1/2"" CI x CU ProFlex 3001",FERNCO INC,11/2X11/2CIXCUFLEXCPLG,FERN 3001-150
"1"" ABS Coupling",CHARLOTTE PIPE & FOUNDRY,ABSCPLG3IN,CNPLS 103003 CS=45 CHAR 02703
"8"" Husky HD2000 Coupling",ANACO,8HD2000WHTHDNHCPLG,ANACO 2016 (15/BOX)
"10"" Husky HD2000 Coupling",ANACO,10HD2000WHTHDNHCPLG,ANACO 2017 (12/BOX)
"12"" Husky SD4000 Coupling",ANACO,12SD4000ORNGHDNHCPLG,ANACO 4018 (2/BOX)
"2"" Standard No Hub Coupling",ANACO,2REGNOHUBCPLG,MIS C200C ANA 0006
"3"" Standard No Hub Coupling",ANACO,3REGNOHUBCPLG,MIS C300C ANA 0008
"4"" Standard No Hub Coupling",ANACO,4REGNOHUBCPLG,MIS C400C ANA 0010
"6"" Standard No Hub Coupling",ANACO,6REGNOHUBCPLG,MIS C600C ANA 0014
"1-1/2"" Sch40 DWV PVC Regular 90",ELKHART PRODUCTS CORP,11/2DWVCXC90,EPC 10046412 MUEL W 07401
"1-1/2"" Sch40 DWV PVC Long Turn 90",ELKHART PRODUCTS CORP,11/2DWVCXCLT90,EPC 10046430 MUEL A 07209
"2"" NHCI P-Trap w/1/2"" Primer Tap",AB&I FOUNDRY,2NOHUBTAPPEDPTRAP,AB&I 08530
"3"" NHCI P-Trap w/1/2"" Primer Tap",AB&I FOUNDRY,3NOHUBTAPPEDPTRAP,AB&I 08532
"4"" NHCI P-Trap w/1/2"" Primer Tap",AB&I FOUNDRY,4NOHUBTAPPEDPTRAP,AB&I 08534
"2"" NHCI Blind Plug",AB&I FOUNDRY,2NOHUBBLINDPLUG,AB&I 02482
"10"" NHCI Blind Plug",AB&I FOUNDRY,10NOHUBBLINDPLUG,AB&I 02494
"2x1-1/2"" NHCI Short Reducer",AB&I FOUNDRY,2X11/2NOHUBREDUCER,SHORT PATTERN AB&I 02138
3x2 NHCI Short Reducer,AB&I FOUNDRY,3X2NOHUBREDUCER,SHORT PATTERN AB&I 02140
4x3 NHCI Short Reducer,AB&I FOUNDRY,4X3NOHUBREDUCER,SHORT PATTERN AB&I 02144
6x4 NHCI Short Reducer,AB&I FOUNDRY,6X4NOHUBREDUCER,SHORT PATTERN AB&I 02156
"3"" ABS Clean Out Tee",CHARLOTTE PIPE & FOUNDRY,ABSCLEANOUTTEE3IN,CNPLS 102116S CS=18 CHAR
"1-1/2"" Sch40 DWV PVC San Tee",ELKHART PRODUCTS CORP,11/2DWVCXCXCSANTEE,EPC 10046562 MUEL W 07511
"2"" NHCI San Tee",AB&I FOUNDRY,2NOHUBSANTEE,AB&I 00810
"3"" NHCI San Tee",AB&I FOUNDRY,3NOHUBSANTEE,AB&I 00816
3x2 NHCI San Tee,AB&I FOUNDRY,3X2NOHUBSANTEE,AB&I 00814
"4"" NHCI San Tee",AB&I FOUNDRY,4NOHUBSANTEE,AB&I 00822
4x2 NHCI San Tee,AB&I FOUNDRY,4X2NOHUBSANTEE,AB&I 00818
4x3 NHCI San Tee,AB&I FOUNDRY,4X3NOHUBSANTEE,AB&I 00820
6 NHCI San Tee,AB&I FOUNDRY,6NOHUBSANTEE,AB&I 00836
6x4 NHCI San Tee,AB&I FOUNDRY,6X4NOHUBSANTEE,AB&I 00834
"2x1 1/4"" NHCI Tapped San Tee",AB&I FOUNDRY,2X11/4NOHUBTAPSANTEE,AB&I 01212
"2"" Sch40 DWV PVC Cleanout Tee",CHARLOTTE PIPE & FOUNDRY,PVCDWVCLEANOUTTEE2IN,CNPLS 192115S CS=30
"2"" Sch40 DWV PVC Square Head Clean out Plug",CHARLOTTE PIPE & FOUNDRY,PVCDWVMALEPLUG2IN,CNPLS 193052S CS=150 CHAR
"3"" Sch40 DWV PVC Cleanout Tee",CHARLOTTE PIPE & FOUNDRY,PVCDWVCLEANOUTTEE3IN,CNPLS 192116S CS=18 CHAR
"3"" Sch40 DWV PVC Square Head Clean out Plug",CHARLOTTE PIPE & FOUNDRY,PVCDWVMALEPLUG3IN,CNPLS 193053S CS=30
"4"" Sch40 DWV PVC Cleanout Tee",CHARLOTTE PIPE & FOUNDRY,PVCDWVCLEANOUTTEE4IN,CNPLS 192117S CS=15
"4""  Sch40 DWV PVC Square Head Clean out Plug",CHARLOTTE PIPE & FOUNDRY,PVCDWVMALEPLUG4IN,CNPLS 193054S CS=30 CHAR
"6""  Sch40 DWV PVC Cleanout Tee",CHARLOTTE PIPE & FOUNDRY,PVCDWVCLEANOUTTEE6IN,CHAR 10214 CS=5
"6"" Sch40 DWV PVC Square Head Clean out Plug",CHARLOTTE PIPE & FOUNDRY,PVCDWVMALEPLUG6IN,CNPLS 193057S CS=8 CHAR 03255
"2"" NHCI Cleanout Tee",AB&I FOUNDRY,2NOHUBCLEANOUTTEE,AB&I 02046
"3"" NHCI Cleanout Tee",AB&I FOUNDRY,3NOHUBCLEANOUTTEE,AB&I 02048
"6"" NHCI Cleanout Tee",AB&I FOUNDRY,6NOHUBCLEANOUTTEE,AB&I 02054
"8"" NHCI Cleanout Tee",AB&I FOUNDRY,8NOHUBCLEANOUTTEE,AB&I 02056
"4"" NHCI Wye",AB&I FOUNDRY,4NOHUBWYE,AB&I 01324
"10"" NHCI Wye",AB&I FOUNDRY,10NOHUBWYE,AB&I 01366
"10"" NHCI Wye",AB&I FOUNDRY,AB&I01366,10 NO HUB WYE
"12"" NHCI Wye",AB&I FOUNDRY,12NOHUBWYE,AB&I 01372
"4"" NHCI Wye",AB&I FOUNDRY,4NOHUBUPRIGHTWYE,AB&I 01656
4x2 NHCI Upright Wye,AB&I FOUNDRY,4X2NOHUBUPRIGHTWYE,AB&I 01652
4x3 NHCI Upright Wye,AB&I FOUNDRY,4X3NOHUBUPRIGHTWYE,AB&I 01654
"3"" Jay R Smith 0221LY-M54 WC Carrier",SMITH INDUSTRIES JRS,SP*011514,JRS 0211LY-M54
"4"" Jay R Smith  0211RY-M54 WC Carrier",SMITH INDUSTRIES JRS,SP*011513,JRS 0211RY-M54
"3/4"" FNPT x Sharkbite Adapter",JONES STEPHENS CORP,JC77514LF,LF 3/4 BRS FNPT ADPT PLUMBITE
"1/2"" FNPT x Sharkbite Adapter",JONES STEPHENS CORP,JC77413LF,LF 1/2 BRS FNPT ADPT PLUMBITE
"1/2"" CU Sweat Tee - CFOS",NIBCO INC,CBCTD,1/2 WROT CXCXC TEE 5/8 OD CB
"3/4"" CU Sweat 90 - CFOS",NIBCO INC,CBC9F,3/4 WROT CXC 90 ELL 7/8 OD CB
"3/4"" CU Sweat Street 45 - CFOS",NIBCO INC,CBCS4F,3/4 WROT FTGXC ST 45 ELL CB
"3/4"" CU Sweat Tee - CFOS",NIBCO INC,CBCTF,3/4 WROT CXCXC TEE 7/8 OD CB
"1/2""x3/8"" CU Sweat Reducing Coupling - CFOS",NIBCO INC,CBCRCDC,1/2X3/8 WROT CXC COUP 5/8X1/20D CB
"3/4""x3/8"" CU Sweat Reducing Coupling- CFOS",NIBCO INC,CBCRCFC,3/4X3/8 WROT CXC RED COUP CB
"1/2""x3/8"" CU Sweat Fitting Reducer - CFOS",NIBCO INC,CBCFRDC,1/2X3/8 WROT FTGXC RED CB
"3/4""x3/8"" CU Sweat Fitting Reducer - CFOS",NIBCO INC,CBCFRFC,3/4X3/8 WROT FTGXC RED CB
"Jay R Smith JRS 2005Y02-A06NB-P050 - Tag: FD-3 - L-4 - 2"" Outlet",SMITH INDUSTRIES JRS,JRS2005Y02A06NBP050,JRS 2005Y02-A06NB-P050
"Jay R Smith JRS 2005Y02-A06NB-P050 - Tag: FD-3 - L-4 - 2"" Outlet",SMITH INDUSTRIES JRS,JRS2005Y02A06NBP050,JRS 2005Y02-A06NB-P050
"Jay R Smith 2005Y02-A06NB-P050 - Tag: FD-3 - L-6 - 2"" Outlet",SMITH INDUSTRIES JRS,JRS2005Y02A06NBP050,JRS 2005Y02-A06NB-P050
"Jay R Smith 2005Y02-A06NB-P050 - Tag: FD-3 - L-6 - 2"" Outlet",SMITH INDUSTRIES JRS,JRS2005Y02A06NBP050,JRS 2005Y02-A06NB-P050
"Jay R Smith 2005Y02-B06NB-P050 - Tag: FD-1 - L-4 - 2"" Outlet",SMITH INDUSTRIES JRS,JRS2005Y02B06NBP050,JRS 2005Y02-B06NB-P050
"Jay R Smith 2005Y02-B06NB-P050 - Tag: FD-1 - L-4 - 2"" Outlet",SMITH INDUSTRIES JRS,JRS2005Y02B06NBP050,JRS 2005Y02-B06NB-P050
"Jay R Smith 2005Y02-B06NB-P050 - Tag: FD-1 - L-6 - 2"" Outlet",SMITH INDUSTRIES JRS,JRS2005Y02B06NBP050,JRS 2005Y02-B06NB-P050
"Jay R Smith 2005Y02-B06NB-P050 - Tag: FD-1 - L-6 - 2"" Outlet",SMITH INDUSTRIES JRS,JRS2005Y02B06NBP050,JRS 2005Y02-B06NB-P050
"Jay R Smith 1015Y03-CID-R-C - Tag: RD-1 - L-4 - 3"" Outlet",SMITH INDUSTRIES JRS,JRS1015Y03CIDRC,JRS 1015Y03-CID-R-C
"Jay R Smith 1045Y03-CID-R-C - Tag: RD-2 - L-4 - 3"" Outlet",SMITH INDUSTRIES JRS,JRS1045Y03CIDRC,JRS 1045Y03-CID-R-C
"Jay R Smith 1015Y04-CID-R-C - Tag: RD-1 - L-4 - 4"" Outlet",SMITH INDUSTRIES JRS,JRS1015Y04CIDRC,JRS 1015Y04-CID-R-C
"Jay R Smith 1045Y04-CID-R-C - Tag: RD-2 - L-4 - 4"" Outlet",SMITH INDUSTRIES JRS,JRS1045Y04CIDRC,JRS 1045Y04-CID-R-C
"Jay R Smith 2005Y02-B06NB-P050 Tag: FD-1 - L-5 - 2"" Outlet",SMITH INDUSTRIES JRS,JRS2005Y02B06NBP050,JRS 2005Y02-B06NB-P050
"Jay R Smith 2005Y02-B06NB-P050 Tag: FD-1 - L-5 - 2"" Outlet",SMITH INDUSTRIES JRS,JRS2005Y02B06NBP050,JRS 2005Y02-B06NB-P050
"Jay R Smith 2005Y02-B06NB-P050 - Tag: FD-1 - L-7 - 2"" Outlet",SMITH INDUSTRIES JRS,JRS2005Y02B06NBP050,JRS 2005Y02-B06NB-P050
"Jay R Smith 2005Y02-B06NB-P050 - Tag: FD-1 - L-7 - 2"" Outlet",SMITH INDUSTRIES JRS,JRS2005Y02B06NBP050,JRS 2005Y02-B06NB-P050
"Jay R Smith 1015Y03-CID-R-C - Tag: RD-1 - L-7 - 3"" Outlet",SMITH INDUSTRIES JRS,JRS1015Y03CIDRC,JRS 1015Y03-CID-R-C
"Jay R Smith 1045Y03-CID-R-C - Tag: RD-2 - L-7 - 3"" Outlet",SMITH INDUSTRIES JRS,JRS1045Y03CIDRC,JRS 1045Y03-CID-R-C
"1/2"" Galvanized BMI 150# Square Head Plug",ASC ENGINEERED SOLUTIONS,1/2GALVPLUG,SCI 0819901810 MATCO MGPL03
"2""x3/4"" EP ProPex Tee",UPONOR INC,UPOQ4752275,2INX2INX3/4 PROPEX TEE BG=1
"3/4"" ProPex Ring w/ Stop",UPONOR INC,UPOQ4690756,3/4 PROPEX RING W/STOP BG=50
"3/4"" LF Brass ProPex Male Adapter",UPONOR INC,UPOLF4527575,3/4 PEXXMIP LF ADAPT BG=25
"3/4"" Milwauke UPBA100",MILWAUKEE VALVE  COMPANY LLC (PROMAX),MILWVLVUPBA1003/4,3/4IN THREADED DOMESTIC LF
SP-OHSUDIALYSISBX HANSET OHSU DIALYSIS BOX,EMLDOR,SPOHSUDIALYSISBX,HANSET OHSU DIALYSIS BOX
"3/4"" CU Sweat 90",ELKHART PRODUCTS CORP,3/4CXC90,50/BOX EPC 10031288 MUEL
"3/4"" CU Sweat Coupling w/ Stop",ELKHART PRODUCTS CORP,3/4CXCCPLG,50/BOX EPC 10030904 MUEL W
"3/4"" Milwaukee UPBA150",MILWAUKEE VALVE  COMPANY LLC (PROMAX),MILWVLVUPBA1503/4,3/4IN SWEAT DOMESTIC LF BRZ
"3/4"" CU Sweat Tee",ELKHART PRODUCTS CORP,3/4CXCXCTEE,25/BOX EPC 10032768 MUEL
"3/4"" Type L CU Tube",CAMBRIDGELEE INDUSTRIES LLC,3/4X20LHARDCOPPER,MUEL LH06020 CAMB
"1 7/8"" 701 Strut Clamp - ZD",SUPER STRUT,70211/2,"GOLD 1-1/2"" RIGID PIPE CLAMP STRUT"
American Standard 2257.101.020 WHT AFWALL 1.1/1.6GPF EL WALL HUNG CLOSET - TOP SPUD,AS AMERICA INC,ASB2257.101.020,WHT AFWALL 1.1/1.6GPF EL WALL 
Sloan 3910168 ROYAL-111-1.28 Flushometer,SLOAN VALVE,SLOAN3910168,ROYAL-111-1.28 FLSMTR
Bemis 10SSCT-000 White Open Front Elongated Toliet Seat,BEMIS MANUFACTURING CO CHURCH SEATS,BEMOL10SSCT000,WHT O/F L/C ELG TLT SEAT
American Standard 6590.001.020 White Washbrook Urinal 0.125-1GPF UNIVERSAL FLUSH,AS AMERICA INC,AS6590.001.020,WHT WASHBROOK URINAL 
Sloan 3082675 REGAL 186-1XL 1.0GPF URINAL Flushometer,SLOAN VALVE,SLOAN3082675,REGAL 186-1XL 1.0GPF URINAL 
Eemax EMT4 4GAL 120V 12AMP WATER HEATER,RHEEM SALES COMPANY INC,EEMEMT4,4GAL 120V 12AMP WATER HEATER
Mustee 17FK WHT 23X23X12 FG Laundry Tub,EL MUSTEE & SONS INC,MUSTEE17FK,WHT 23X23X12 FG LNDRY TUB 4
Delta 2133LF Chrome Plated Laundry Faucet,DELTA FAUCET CO,DELTA2133LF,CHR LAUNDRY FAUCET
"1 1/2"" ABS P-Trap - Dearborn A9704B",OATEY SCS,DEARBORNA9704B,1 1/2 ABS P-TRAP W/BLUE
"McGuire LFST09LK 1/2""x3/8"" Chrome Plated Loose Key Angle Stop",MCGUIRE MANUFACTURING CO,MCGURLFST09LK,1/2NOMX3/8OD ANG STOP
"5/8"" Chrome Plated Escutcheon Pasco 1230",PASCO SPECIALTY,PASCO1230,5/8 SHALLOW ESCUTCHEON (50/BX)
"3/8"" Compression x 1/2"" FNPT x 20"" Braided SS Supply Tube",FLUIDMASTER INC,FLUIPRO1F20,20IN 3/8FX1/2F COMPXIPS FLEX 
"2"" Watts LF777SI Wye Strainer",WATTS REGULATOR,WATS0379116,2IN LF777SI BRASS IPS WYE
Sloan Royal WC Fushometer #3910168,SLOAN VALVE,SLOAN3910168,ROYAL-111-1.28 FLSMTR
Permatex Form-A-Gasket No.2,PERMATEX,PERMATEX80016,FORM-A-GASKET NO. 2 SEALANT
"2"" CU Sweat Cap",ELKHART PRODUCTS CORP,2CXCTUBECAP,EPC 10030638 MUEL W 07014
"4"" Anvil Fig. 212 Medium Pipe Clamp - Plated",ASC,05000212GI,212 4    GAL STEEL MEDIUM
"2"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,05000260F,260 2 ADJ CLEVIS HANGER
"3"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,05000260H,260 3 ADJ CLEVIS HANGER
"4"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,05000260J,260 4  ADJ CLEVIS HANGER
"6"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,05000260L,260 6  ADJ CLEVIS HANGER
"8"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,05000260M,260 8  ADJ CLEVIS HANGER
"2"" Anvil Fig. 260 Clevis Hanger - Plated",ASC,05000260ZF,260 2 ZP STL ADJ CLEVIS HGR
"3"" Anvil Fig. 260 Clevis Hanger - Plated",ASC,05000260ZH,260 3 ZP STL ADJ CLEVIS HGR
"2"" Anvil Fig. 261 Riser Clamp - HDG",ASC,05000261ZF,261  2    GALV RISER CLAMP
"3"" Anvil Fig. 261 Riser Clamp - HDG",ASC,05000261ZH,261  3    GALV RISER CLAMP
"6"" Anvil Fig. 261 Riser Clamp - HDG",ASC,05000261ZL,261  6    GALV RISER CLAMP
"8"" Anvil Fig. 261 Riser Clamp - HDG",ASC,05000261ZM,261  8    GALV RISER CLAMP
"12"" Anvil Fig. 261 Riser Clamp - HDG",ASC,05000261ZO,261 12    GALV RISER CLAMP
7/8inch fig 66 plain,ASC,J00122000100496,66 7/8  WELDED BEAM   W/O BOLT
5/8 inch fig 66 plain,ASC,J00122000200496,66 5/8  WELDED BEAM   W/O BOLT
1/2 inch fig 66 plain all less bolt and nut,ASC,J00122000300496,66 1/2  WELDED BEAM   W/O BOLT
Green Survey Whisker (25 Per Bundle),SURVEY,WHISKERS,25 PER BUNDLE  SCPM6 STAKE CHASERS
"2"" 10mil Tape",SHURTAPE,104779,"PW 100 BPT 10 MIL 2"" X 33.3YD PIPE"
Spray Foam,DEWALT,08130NPWR,POWERFOAM 12 OZ. POLYURETHANE FOAM
"2"" Duct Tape",SHURTAPE,105454,"PC 609 SILVER 2"" X 60YD DUCK PRO"
"#10 x 3/4"" Hex Head Tek Screw (5/16"" Drive)",PRO TWIST,HWD1034,"BULK #10 X 3/4"" HWH TEK 3 POINT"
4'x8' White CorePly Sheet,SURFACE SHIELDS,PLS4896WFR,FR LIGHT WHITE CORRUGATED PLASTIC
White PaintStik Marker,MARKAL,80220,WHITE PAINT STICK MARKER
Milwaukee Inkzall Black Marker,MILWAUKEE TOOL,48223100,FINE POINT BLACK INKZALL PERMANENT
Carpenter's Pencil,ACME,PENCIL/ACME,"CUSTOM ""ACME"" LOGO CARPENTER PENCIL"
"Sharpie Pro Black Marker 1/4"" Chisel Tip",MILWAUKEE TOOL,48223130,CHISEL POINT BLACK INKZALL
"24"" Std. Wt. CS GrB PE Pipe A53 need MTO's",IMPORT MANUFACTURERS,GBPPEA53B24,24 BLK BE A53B STD .375 ERW SRL
"4"" WATTS LF909-NRS-FS Reduced Pressure Zone Assembly",WATTS REGULATOR,SP*00042083,WATTS LF909-NRS-FS 4IN EDP# 
Watts 909AGK Air Gap Fitting,WATTS REGULATOR,SP*024255,WATS 0881385 909AGK AIR GAP 
"4"" Watts 77F-DI-FDA-115 125# Flanged Wye Strainer",WATTS REGULATOR,WATS0825212,4IN 77F-DI-FDA-125 FLANGED
"1 1/2"" Watts LF909M1-QT-FS Reduced Pressure Zone Assembly",WATTS REGULATOR,SP*00042084,WATTS LF909M1-QT-FS 1-1/2IN 
Watts 909AGF Air Gap Fitting,WATTS REGULATOR,WATS0881378,909-AG-F AIR GAP 2IN 009 M2
"4"" Watts LF909-NRS-FS Reduced Pressure Zone Assembly",WATTS REGULATOR,SP*00042083,WATTS LF909-NRS-FS 4IN EDP# 
"4"" Watts 909AGK Air Gap Fitting",WATTS REGULATOR,SP*024255,WATS 0881385 909AGK AIR GAP 
"4"" Watts 77F-DI-FDA-115 125# Flanged Wye Strainer",WATTS REGULATOR,WATS0825212,4IN 77F-DI-FDA-125 FLANGED
"10"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,05000260N,260 10 ADJ CLEVIS HANGER
"1 1/2"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,05000260E,260 1-1/2 ADJ CLEVIS HANGER
"1 1/4"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,05000260D,260 1-1/4 ADJ CLEVIS HANGER
"2"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,05000260F,260 2 ADJ CLEVIS HANGER
"2 1/2"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,05000260G,260 2-1/2 ADJ CLEVIS HANGER
"4"" Anvil Fig. 260 Clevis Hanger - Plain",ASC,05000260J,260 4 ADJ CLEVIS HANGER
"1 1/2"" Anvil CT-69 Loop Hanger",ASC,0500CT69E,CT-69 1-1/2 CTS ADJ SWIVEL HGR
"2 1/2"" Anvil CT-69 Loop Hanger",ASC,0500CT69G,CT-69 2-1/2 CTS ADJ SWIVEL HGR
"5"" Anvil Fig. 181 Roller Hanger - Plain",ASC,*00496099729,"181 5"" ADJ YOKE PIPE ROLL"
"6"" Watts 77F-DI-FDA-125 Flanged Wye Strainer",WATTS,77FDIFDA125,77F-DI-FDA-125 6 WYE STRAINER
"4"" Mueller 752 Flanged Wye Strainer",MUELLER STEAM SPECIALTIES,752,752 4 250 FLG STRAINER
"1/2"" Mueller CI 11-M Threaded Wye Strainer",MUELLER STEAM SPECIALTIES,11MN,11M-N 1/2 250# CI THD Y STRNR
"3/4"" Mueller CI 11-M Threaded Wye Strainer",MUELLER STEAM SPECIALTIES,11MN,11M-N 3/4 250#CI THRD Y STRNR
"3/4"" Watts LF777SI  Threaded Wye Strainer",WATTS,LF777SI,LF777SI 3/4 BRONZE Y STRAINER
"2 1/2"" Victaulic TA-788 Flanged Balancing Valve",VICTAULIC,788,788 2-1/2 FLG STAF BALANCE VLV
"3"" Victaulic TA-788 Flanged Balancing Valve",VICTAULIC,788,788 3 FLG STAF BALANCE VLV
"1 1/2"" Victaulic TA-787 Threaded Balancing Valve",VICTAULIC,787,787 1-1/2 NPT STAD BALANCE VLV
"1 1/4"" Milwaukee BA450 Sweat Ball Valve",MILWAUKEE VALVE,BA450,BA450 1-1/4 SWT BALL VLV
"2"" Milwaukee BA450 Sweat Ball Valve",MILWAUKEE VALVE,BA450,"BA450 2"" SWT BALL VLV"
"1"" Milwaukee UPBA450 Sweat Ball Valve",MILWAUKEE VALVE,UPBA450,UPBA450 1 CXC BZ FP BALL VLV
"1 1/4"" Milwaukee UPBA450 Sweat Ball Valve",MILWAUKEE VALVE,UPBA450,UPBA450 1-1/4 CXC BZ FP BALL
"2"" Milwaukee UPBA450 Sweat Ball Valve",MILWAUKEE VALVE,UPBA450,UPBA450 2 CXC BZ FP BALL VLV
